DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P51;P771;P772;P773;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S9A2;P779S14;P780;P780S2;P780S2A1;P780S3;P780S3A1;P780S4;P780S4A1;FEX_C
7159771;5;1;5;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;15,042769016554
7159772;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;12,6192641104198
7159776;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;14,2449650245747
7159776;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;14,2449650245747
7159777;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;10,0673875406262
7159792;3;1;3;1; ; ;3;1;3; ; ;10000;1;3; ; ;7000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ;2; ;2; ;2; ;72,5191357589147
7159796;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;45,3175173892991
7159798;6;2;6;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ;1;1;1;2; ; ; ; ; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;389,836817623035
7159798;7;2;7;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ;1;1;1;1; ; ;1;1; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;389,836817623035
7159802;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;45,338963605829
7159819;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;17,0749889901085
7159821;3;1;3;2;2;7; ;1;3; ; ;10000;1;3; ; ;5000;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;21,670469636338
7159821;4;1;4;2;2;4; ;1;3; ; ;10000;1;3; ; ;5000;1;2; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;21,670469636338
7159828;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;21,1560678447861
7159831;4;1;4;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;27,1403324165006
7159837;2;1;2;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;32,6068050879659
7159837;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;32,6068050879659
7159837;4;1;4;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;32,6068050879659
7159838;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;28,8939595151174
7159842;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;22,6412340395078
7159843;3;1;3;1; ; ;1;1;3; ; ;10000;1;3; ; ;5000;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;27,5179522105495
7159843;4;1;4;1; ; ;1;1;3; ; ;10000;1;3; ; ;5000;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;27,5179522105495
7159845;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2;1;2;1;3; ; ;1;3; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;26,0045635636056
7159847;5;1;5;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;22,3605041198555
7159848;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;18,9971745957576
7159858;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;50,5904698519857
7159858;6;1;6;1; ; ;2;1;3; ; ;5000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2; ;1;2;50,5904698519857
7159858;8;1;8;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;7; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;50,5904698519857
7159861;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;117,892058229143
7159915;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1; ; ;1;2;1;1; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;103,485207359425
7159929;4;1;4;1; ; ;5;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ;1;2; ; ; ; ; ; ;1;2;2; ;2; ;316,908595765554
7159938;4;1;4;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2;1;2; ; ;1;2; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;238,316728067942
7159954;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;253,352127262047
7159956;3;1;3;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;130,201006543262
7159956;4;1;4;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;130,201006543262
7159956;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;130,201006543262
7159956;3;2;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;130,201006543262
7159956;4;2;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;130,201006543262
7159958;7;1;7;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;144,595750390289
7159959;5;1;5;5;1;6; ;1;4; ; ; ;2; ; ; ; ;2; ;2;40;3; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;139,708110175961
7159967;3;1;3;1; ; ;5;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;4;1;4; ; ; ; ; ; ; ; ;1;4;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;180,502329736695
7159968;4;1;4;6;2;3; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;156,61583205005
7159974;3;1;3;1; ; ;4;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2;2; ;2; ;202,633169758843
7159985;3;1;3;1; ; ;1;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;219,409794401478
7159987;3;1;3;1; ; ;5;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ;1;1;1;1;1;2;1;2; ; ;1;1;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;162,470513411074
7159999;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;58,0677022760363
7160002;6;1;6;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;65,3139921639219
7160019;5;1;5;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;49,187509413896
7160053;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;42,200332376056
7160054;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;2;48,628321983969
7160055;7;1;7;2;1;8; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;37,1984704195101
7160093;6;1;6;3;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;48,3717401812876
7160102;5;1;5;1; ; ;1;1;3; ; ;3000;1;3; ; ;3000;1;2; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;59,2231772559483
7160121;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;3; ; ;1;2; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;412,586052884986
7160152;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;582,730182723914
7160178;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ;1;1; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ;1;2;2; ;1;2;138,123204196253
7160179;4;1;4;2;1;6; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ;1;2;1;1; ; ;1;1;1;1;1;2;1;2;1;1; ; ; ; ; ; ; ; ;1;2;2; ;1;2;151,231162531581
7160183;3;1;3;1; ; ;3;1;3; ; ;3000;1;3; ; ;3000;1;1; ; ; ; ;1;3;1;3;1;2;1;1; ; ;1;2;1;3;1;1; ; ; ; ; ; ; ; ;1;2;2; ;2; ;141,761204458188
7160199;6;1;6;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ;1;1; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1324,46742350107
7160202;4;1;4;1; ; ;3;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1; ; ;1;2;1;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1126,67622368746
7160207;3;1;3;8; ;4; ;1;4; ; ; ;1;4; ; ; ;2; ;2;40;4; ;1;2;1;2;1;2;1;1;1;2;1;1;1;2;1;1;1;2; ; ; ; ; ; ;2; ;2; ;2; ;1242,45010794118
7160262;3;1;3;2;1;5; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;109,463257010268
7160265;5;1;5;1; ; ;4;1;3; ; ;1000;1;3; ; ;3000;1;4; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ;1;2; ; ; ; ;2; ;2; ;2; ;90,8238491550065
7160266;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;103,971873512988
7160268;8;1;8;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;148,050078019055
7160276;5;1;5;1; ; ;5;1;1; ; ; ;1;1; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;4; ; ; ; ;2; ;2; ;2; ;45,3722213740212
7160285;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;3; ; ;1;3; ; ; ; ;1;3;1;1; ; ;1;3; ; ; ; ;2; ;2; ;1;2;70,8091792332022
7160296;7;1;7;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;6; ; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ;1;3;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;109,084800147442
7160302;6;1;6;1; ; ;1;1;3; ; ;8000;1;3; ; ;2000;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;68,8274910578704
7160309;5;1;5;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;1;88,4834126106482
7160311;5;1;5;5;1;4; ;1;4; ; ; ;1;4; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;98,1899938469664
7160313;2;1;2;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;3;1;1; ; ;1;3; ; ; ; ;2; ;1;2;2; ;76,8499012981324
7160315;2;1;2;1; ; ;1;1;3; ; ;3000;1;3; ; ;3000;1;1; ; ; ; ; ; ;1;2; ; ;1;1; ; ;1;2;1;3;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;61,4068286742768
7160317;5;1;5;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;21,4784079206874
7160320;3;1;3;1; ; ;1;1;2;300;2000; ;1;2;300;2000; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;14,9675689947654
7160325;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;16,7956477954451
7160330;3;1;3;1; ; ;1;1;2;400;500; ;1;2;400;500; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;21,5546542666185
7160331;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;3; ; ; ; ; ; ; ; ;2; ;1;2;2; ;11,110717766558
7160333;5;1;5;1; ; ;1;1;2;500;1000; ;1;2;500;1000; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;11,6586635872898
7160334;4;1;4;1; ; ;1;1;2;400;2000; ;1;2;400;2000; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;7,7391394607368
7160335;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;14,0502535337384
7160336;8;1;8;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;7; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ;1;2;1;1; ; ;1;1; ; ; ; ;2; ;2; ;1;2;22,4597975012901
7160338;5;1;5;1; ; ;1;1;2;500;2500; ;1;2;500;2500; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;17,0112354801526
7160339;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;23,7510522462291
7160339;8;1;8;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;23,7510522462291
7160341;3;1;3;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;27,1939494966425
7160341;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;2;27,1939494966425
7160342;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;21,6584407911365
7160343;4;1;4;1; ; ;1;1;3; ; ;5000;1;3; ; ;3000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;21,9867611261411
7160345;4;1;4;2;2;1; ;1;3; ; ;1000;1;3; ; ;1000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;85,9930084992505
7160346;3;1;3;2;2;1; ;1;3; ; ;5000;1;3; ; ;3000;1;2; ; ; ; ;1;2;1;2; ; ;1;1; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ;2; ;1;2;2; ;121,659279711255
7160347;3;1;3;1; ; ;2;1;3; ; ;5000;1;3; ; ;3000;1;2; ; ; ; ;1;2;1;2;1;2;1;2; ; ;1;1;1;2;1;1;1;3; ; ; ; ; ; ;2; ;1;2;1;2;99,8164270929334
7160347;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1;1;2; ; ;1;2; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;99,8164270929334
7160357;6;1;6;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;1;1; ; ; ; ; ; ;2; ;2; ;2; ;104,344573592129
7160364;3;1;3;1; ; ;3;1;3; ; ;2000;1;3; ; ;1000;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;64,1811521463653
7160374;3;1;3;1; ; ;3;1;2;1000;2000; ;1;2;500;1000; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;82,3341093699174
7160375;3;1;3;2;2;4; ;1;3; ; ;3000;1;3; ; ;3000;1;2; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;100,645035322546
7160384;3;1;3;1; ; ;2;1;3; ; ;3000;1;3; ; ;3000;1;2; ; ; ; ; ; ;1;1;1;2;1;1; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;86,2837850379625
7160385;4;1;4;1; ; ;3;1;3; ; ;1000;1;3; ; ;1000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2;2; ;85,4551768083497
7160388;4;1;4;1; ; ;3;1;3; ; ;2000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;104,101383373932
7160389;3;1;3;1; ; ;2;1;3; ; ;2000;1;3; ; ;1000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;100,996579115299
7160390;7;1;7;1; ; ;2;1;3; ; ;1000;1;3; ; ;1000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ; ; ; ; ; ;2; ;2; ;2; ;129,909699002357
7160409;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;85,9930084992505
7160409;4;1;4;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;85,9930084992505
7160410;4;1;4;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;78,7584055074561
7160410;5;1;5;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;78,7584055074561
7160412;3;1;3;2;2;1; ;1;3; ; ;2000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;125,945476178112
7160412;4;1;4;2;2;1; ;1;3; ; ;2000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;125,945476178112
7160423;3;1;3;2;2;4; ;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;39,4032224674776
7160425;5;1;5;1; ; ;1;1;3; ; ;5000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;34,7501138188377
7160426;3;1;3;1; ; ;3;1;3; ; ;1000;1;3; ; ;1000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;31,5513516180534
7160427;3;1;3;1; ; ;3;1;3; ; ;10000;1;3; ; ;1000;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;41,7499750521493
7160427;4;1;4;2;2;4; ;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;41,7499750521493
7160427;5;1;5;2;2;5; ;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;41,7499750521493
7160429;4;1;4;1; ; ;3;1;3; ; ;8000;1;3; ; ;1000;1;2; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;45,6448650061479
